意识	意識	yi4shi5	realize; consciousness; awareness; sense
源泉	源泉	yuan2quan2	headspring; fountainhead; water source
慢性	慢性	man4xing4	chronic (disease); slow in taking effect
跟前	跟前	gen1qian2	in front of
弥漫	彌漫	mi2man4	fill the air; permeate; to suffuse
晴朗	晴朗	qing2lang3	sunny and cloudless
缠绕	纏繞	chan2rao4	bind; wind; twirl; twist; intertwine
惋惜	惋惜	wan3xi1	feel sorry for a person; sympathize; to regret
鲜明	鮮明	xian1ming2	bright; clear-cut; distinct
滋润	滋潤	zi1run4	quenched; moist
拼搏	拼搏	pin1bo2	struggle; wrestle
率领	率領	shuai4ling3	lead; command; head
愚昧	愚昧	yu2mei4	ignorant; benighted; backwards
屏障	屏障	ping2zhang4	wall; barrier; protective screen
表彰	表彰	biao3zhang1	cite (in dispatches); commend
权衡	權衡	quan2heng2	trade-off; weigh pros and cons
插座	插座	cha1zuo4	power socket
奥秘	奧秘	ao4mi4	mystery; enigma; profound; deep
重叠	重疊	chong2die2	to overlap
铸造	鑄造	zhu4zao4	cast (pour metal into a mold)
简要	簡要	jian3yao4	concise; brief
隐患	隱患	yin3huan4	hidden danger
滞留	滯留	zhi4liu2	detain; retention
倔强	倔強	jue2jiang4	stubborn; unbending
盛情	盛情	sheng4qing2	great kindness; boundless hospitality
疙瘩	疙瘩	ge1da5	swelling or lump on skin
督促	督促	du1cu4	supervise and urge sb. to complete a task
盖章	蓋章	gai4zhang1	affix one's seal; seal; stamp
椭圆	橢圓	tuo3yuan2	ellipse; oval
纵横	縱橫	zong4heng2	able to move unhindered; length and breadth
恭敬	恭敬	gong1jing4	dutiful; deferential
舰艇	艦艇	jian4ting3	warship; naval vessel
哆嗦	哆嗦	duo1suo5	tremble; to shiver; to quiver
剪彩	剪彩	jian3 cai3	cut the ribbon at an opening ceremony
零星	零星	ling2xing1	partial; scattered; fragmentary
衔接	銜接	xian2jie1	to join together; to link (especially transport)
磨合	磨合	mo2he2	adapt gradually to each other; to consult; break in; wear in
勘探	勘探	kan1tan4	exploration
据悉	據悉	ju4xi1	according to reports; it is reported (that)
廉洁	廉潔	lian2jie2	honest; incorruptible
船舶	船舶	chuan2bo2	ships; boats; watercraft
稻谷	稻谷	dao4gu3	rice crops/paddy
压岁钱	壓歲錢	ya1sui4qian2	gifts of money given to children during the Spring Festival
勤俭	勤儉	qin2jian3	hardworking and thrifty
东道主	東道主	dong1dao4zhu3	host for a party or conference
玩意儿	玩意兒	wan2yi4r5	thing; toy; gadget
不可思议	不可思議	bu4ke3si1yi4	unimaginable; inconceivable
折磨	折磨	zhe2mo2	persecute; to torture
辩护	辯護	bian4hu4	speak in defense of; argue in favor of; defend
渴望	渴望	ke3wang4	to thirst for; to long for; to yearn for
期望	期望	qi1wang4	hope; expectation
新娘	新娘	xin1niang2	bride
直播	直播	zhi2bo1	live broadcast (not recorded)
崩溃	崩潰	beng1kui4	collapse; crumble; fall apart
罐	罐	guan4	can; jar; pot; pitcher; jug
演奏	演奏	yan3zou4	give an instrumental performance
理智	理智	li3zhi4	reason; intellect; rational
策略	策略	ce4lve4	tactics; plot
瞄准	瞄准	miao2zhun3	take aim (a weapon at a target)
依靠	依靠	yi1kao4	rely on; depend on
残酷	殘酷	can2ku4	cruel
模型	模型	mo2xing2	model; mould; matrix; pattern
